x-position, y-position, x-velocity, y-velocity
   99.758399,    37.756936,     0.000000,     0.000000
   68.000164,    23.605848,     3.814416,     3.335901
   93.462217,    78.325766,     0.167628,     2.692693
   83.487864,    90.850607,    -1.136235,     5.025237
   78.090177,    97.442505,    -0.415429,     4.151280
   33.402167,    96.892026,     9.519228,   -10.855039
   28.746812,    40.781940,     4.562780,    -7.278104
   27.261119,    44.703811,     9.491355,     7.583400
   37.527485,    76.363771,     0.061105,    -1.586071
   54.496665,     5.672305,     6.785448,    -2.305556
   15.204816,    76.350019,     3.450931,     5.567725
    3.106476,    13.720751,     6.849700,     4.632711
   91.285146,    92.340217,    -6.270220,     1.261442
   48.686601,    84.353778,    11.546063,    -2.655520
   65.673353,    90.355323,     6.680694,     2.182340
   55.372023,    33.174329,    -2.197807,    -4.679096
   10.995406,    35.571501,    -2.800962,     0.213775
   38.191470,    63.415084,    -0.061852,     4.170638
   63.800587,    89.284706,     2.113213,     1.798076
   26.951253,    41.961518,     9.574134,     4.210720
   71.278161,    59.690553,     6.132789,    -1.683396
   50.227220,    90.338145,     6.044562,    -2.373851
   83.585898,    15.990819,     1.263724,     2.591230
   97.090918,     6.013260,     4.449507,   -10.554847
   91.192186,    10.368284,    11.918370,   -14.512266
   56.291576,    73.637828,    -4.354609,     3.560189
   35.986797,    18.974143,    -6.605029,    -6.786169
   49.868989,    95.517826,    -1.697570,    -1.191711
    3.700771,     1.370142,     8.776031,     7.658584
   89.723136,    79.034655,     0.249329,     1.608329
   83.660722,     7.130557,     5.389229,    -5.227739
   88.677766,    90.404204,    -5.409121,     5.092443
   96.919426,    77.526955,    -0.111316,    -0.219349
   78.688505,    95.126093,    -2.952645,    -3.210121
    6.902979,    66.930112,     6.273633,     5.566923
   80.221874,    89.960812,     4.748135,     0.602741
   79.606108,    30.321789,    -1.549527,     4.848411
   92.458562,     3.281706,     5.844872,    -5.575624
   33.852862,    63.033611,     3.124691,    -0.816546
   63.770927,    89.034699,     0.869337,     1.253883
   45.734225,    52.869251,    -0.264906,    -5.619407
   81.997434,     8.919027,     4.752610,     2.751545
   97.794324,    82.241032,    -3.752408,     1.914067
   61.968613,    43.847083,    -2.519387,     6.327763
   83.000643,     2.115470,    -2.166071,    -0.526501
   87.037068,    80.702833,     6.291459,     2.716505
   42.309303,    28.487176,    -4.737097,    11.504213
   97.697367,    87.327074,     0.570168,     0.802393
   32.343416,    24.774974,    11.263875,     6.607156
   80.912599,    94.759506,    -0.869799,     0.531894
   82.386162,    91.069441,    -0.546383,     8.270539
   29.672784,    41.621536,   -11.914510,     9.853354
   18.420925,    75.431344,     1.860563,    -0.906197
   90.037588,    86.163824,     1.662289,     1.734379
   62.415897,    17.001928,    -4.711032,     5.111225
   66.838898,    56.363616,    -1.094273,     0.846695
   62.872931,    93.020143,    -4.217608,     0.029041
   71.343637,    95.096265,     0.150583,     3.413024
   33.780473,    25.647116,     3.056247,    -3.595515
   51.896981,    84.152792,    -1.033563,     4.356508
   58.342424,    78.278765,     3.828188,     3.487352
   99.500892,     3.190676,    -0.004904,    -0.103599
   96.174285,    95.698444,     0.590013,    -1.407447
   68.052234,    81.475809,    -3.639131,     3.145436
   97.100598,    85.882001,    -2.283163,     7.164740
   33.072494,    87.735423,     4.873621,    -6.474091
   74.237195,    50.867354,    -1.970469,     0.198334
   58.267966,    37.775386,    -0.057146,    -6.911503
   86.697664,    56.309841,     0.819260,    -3.159227
   61.883135,    46.242279,    -0.879519,    -4.710253
   64.999371,    73.518568,    -6.790060,     0.569286
   40.428193,    58.701882,    -2.802553,    -0.453376
   13.626194,    42.448955,     1.166239,     8.356866
    0.936835,    70.778339,     0.478225,   -19.522912
   49.379170,    67.797592,    -0.428261,    -1.514299
   14.402996,     5.569175,     4.193221,     7.192861
   11.678457,    18.154263,    -0.899306,     5.706595
   60.206594,    81.186031,    -1.897611,    -7.411970
   97.135017,    88.580377,     6.196673,     1.283762
