x-position, y-position, x-velocity, y-velocity
   13.205969,    66.266917,     7.654327,    14.622043
   77.662426,    72.457082,   -18.069479,   -28.562897
   50.208066,    35.488952,    -5.427734,     6.855100
   38.989849,    75.401011,    -4.635558,   -23.971231
   22.910662,    81.223681,    -7.753074,    -6.625931
   64.715033,    75.992566,     1.283678,     8.843479
   88.056876,    62.457941,     5.312935,    11.755629
   37.246672,    97.021145,   -21.878044,    -4.494519
   41.489785,    25.979237,    -0.859591,    -9.507743
   12.136161,    14.825450,    -9.643169,     1.173011
   94.954838,    26.849248,     6.169120,    -9.882864
   47.243883,    72.824034,     4.724490,   -13.075434
   63.147072,    37.852779,   -14.747656,   -13.344156
   13.498461,    69.945881,   -10.812368,     4.009112
   42.218203,    68.287094,    -2.299600,    -6.776992
   13.121977,    63.102104,     2.498524,    14.711481
    6.976991,    90.137708,    -2.341847,    -1.959381
   11.077777,    80.281070,    -7.985087,    -4.166477
   46.496520,    93.394741,     6.688612,    -6.325829
   63.006301,     4.987557,   -31.142482,   -10.696719
   27.569575,    48.743198,     0.289103,    -7.997482
   71.195264,    47.597998,    21.228747,     6.097987
   98.012563,    46.683488,    -5.282605,     4.493788
   16.568275,    65.890415,    11.667455,    -0.731892
   54.301477,    84.068768,    -2.528622,     1.106410
    8.541090,    23.035144,     6.656145,    -2.381675
   42.511768,     8.186686,    -3.251090,   -10.338551
   64.162441,    90.720754,    26.230944,     7.509811
   53.895008,    25.181387,   -12.592220,    -6.812491
   10.269983,    35.794154,     8.856246,     5.059828
   13.680200,    21.385621,     0.348098,     5.209132
   92.318464,    46.274897,   -20.811297,    -3.149470
   20.619027,    41.241886,    -3.242451,   -10.213687
   61.010939,    63.178282,     1.358642,     0.537196
   30.555426,    36.650947,   -11.101801,   -13.951845
   64.488347,    82.098409,     5.281584,    -1.779003
   26.925496,    77.461698,     7.188697,    -8.720621
   79.425530,    55.393796,    -0.878104,    -6.392349
   40.299983,    88.120998,     1.319403,     8.081907
    9.114669,    44.534920,   -19.486890,     5.969975
   74.599118,     3.671368,     5.965385,     0.183730
   15.501589,    24.811966,    -8.465755,     9.074979
   35.893992,    74.246183,   -13.504601,   -20.001203
   29.521022,    22.275473,    -8.754035,   -15.897079
   85.326907,    73.087740,    -8.941923,     0.986548
   80.110629,    43.388335,   -14.323345,     0.803650
   47.317319,    31.801822,     1.418357,   -21.432288
   42.376230,    97.866302,    11.080775,    -0.201208
   64.824588,    69.405783,    -1.076713,   -15.902918
   61.940717,    29.336755,    -4.975148,     5.415744
   89.541565,    74.367301,     0.125720,   -12.816795
   57.095790,    51.752136,    -5.549664,     2.595634
   21.780477,    42.917649,   -21.244270,    -2.965829
   77.579195,     7.753461,   -11.593048,     3.803236
   86.145083,    80.294322,    -3.612603,    14.614320
   46.327491,    54.168725,    -6.260817,    19.762981
   56.021414,    97.123500,   -11.734869,     8.244944
   12.488762,    11.667411,     6.414789,    -8.010306
   19.485702,    16.242005,    -3.140197,    -4.027545
   20.660790,    38.576237,     1.951349,     2.255852
    6.149128,    17.757135,   -12.409814,   -12.645106
    2.825138,    53.903691,    -8.191144,     6.239185
   69.044857,    40.984433,    -9.038290,   -11.666865
   86.914714,    64.398795,    -6.420910,    -7.824825
   10.763013,    17.222717,    -3.192587,     4.055471
   15.966133,    69.048502,   -12.824875,     8.346154
   97.364693,    68.985896,     9.016145,   -16.820715
   63.892301,    42.694251,    16.213311,   -10.339558
   80.086169,    21.047861,   -17.535713,    -0.379152
   33.782819,    28.007195,    22.293356,    -0.129665
   77.578541,    61.705941,    -4.926593,    10.587071
   91.918791,    83.490545,    -6.185842,    -5.101518
   62.095791,    31.596639,    20.270853,    -6.638088
   13.345111,    28.969031,    12.689234,     3.469043
   78.351203,    64.664221,   -14.052193,    -7.744894
   15.472167,    11.589595,    11.433835,    -5.098684
   53.253126,    33.030484,    -7.008224,    -3.109205
   41.171399,    25.102729,    13.990124,    10.866527
   36.941645,    46.678876,   -35.024383,    13.244342
   38.501605,    77.543126,     6.888615,    10.341755
   19.751916,    85.943069,    -3.942326,    -2.272112
   93.796553,    14.395869,    -7.462929,     1.952248
   76.086438,    23.043345,    -2.341448,     1.975652
   15.600536,    94.265757,    23.657256,    16.189458
   90.094154,    43.090114,     1.803739,    -5.235426
   53.014734,    77.089413,   -23.851244,    14.964347
   75.788696,    31.819016,    11.160724,     1.856554
   71.338165,    93.851626,     5.205843,    12.874689
    8.744629,    96.628734,     4.822197,    11.435775
   55.747947,     5.784895,   -10.353892,   -24.010977
   43.312070,     5.741209,    -2.660295,     9.544228
   70.502869,    88.470533,    -0.827552,     8.549776
   42.680148,    51.410282,    -7.557170,     7.617208
   21.335648,    53.892667,    -1.755452,    -2.355149
   94.675256,    90.630786,    12.865973,   -18.446653
   36.918189,    88.161729,     1.585140,    11.836839
   92.400663,    21.377900,     3.581616,    -0.987528
   40.126572,    94.508341,   -11.946966,    11.087974
   14.760766,    97.381676,    21.974209,    16.461387
   37.726758,    45.369213,     4.850841,    -3.100463
