x-position, y-position, x-velocity, y-velocity
   99.758399,    37.756936,     0.000000,     0.000000
   62.278540,    18.601997,     3.814416,     3.335901
   93.959033,    73.396983,     1.906334,    -1.317084
   88.055334,    86.842805,     8.357703,     1.634977
   78.007423,    93.632493,     0.701165,     1.210196
   17.869394,    96.596693,    11.310559,    -5.780975
   21.457630,    53.328934,     3.125182,   -10.419190
   14.355853,    51.733833,     8.603511,    -4.686681
   37.705966,    77.535631,    -2.050522,     1.734829
   44.318492,     9.130640,     6.785448,    -2.305556
    9.331851,    76.259582,     3.981722,    -0.727344
    9.985156,     9.893372,     0.346470,     9.437929
   94.329524,    88.371311,     2.905198,     8.508628
   34.028578,    77.980457,     9.433789,     4.373644
   62.891838,    90.406027,     0.161363,    -3.726079
   58.668734,    40.192973,    -2.197807,    -4.679096
   12.484688,    34.481365,     8.313075,     4.049026
   38.284249,    57.159128,    -0.061852,     4.170638
   64.938400,    84.454977,    -0.883218,     2.601296
   37.695289,    34.330938,    -3.016105,     0.452747
   62.078977,    62.215647,     6.132789,    -1.683396
   53.748068,    92.864563,    -5.398794,    -1.433525
   70.094074,    27.225870,    15.682615,    -9.158666
   97.943115,     8.838655,     0.864427,    -2.075889
   88.241016,    20.523764,    -3.008015,    -2.899347
   62.823489,    68.297544,    -4.354609,     3.560189
   43.840275,    19.141778,    -1.536317,     6.457494
   52.312454,    97.967735,    -0.982542,    -4.134369
    4.489177,    10.006589,     0.707546,    -5.668039
   87.101334,    81.075034,     1.795151,    -2.586072
   81.365653,     7.112682,     2.915575,    -0.271774
   91.478820,    90.819025,     2.248624,     4.842324
   95.970197,    75.824108,     2.434731,    -1.218645
   77.783450,    97.047547,    -2.348913,     6.357608
    3.069183,    66.865845,    -2.701437,    -2.966155
   76.021889,    86.387095,     4.054220,     3.788990
   82.494982,    23.782986,    -7.333679,    -5.081232
   86.115207,     8.755605,    -3.909753,     0.704992
   29.165826,    64.258430,     3.124691,    -0.816546
   59.863521,    82.751528,     5.439503,     8.545280
   46.482257,    60.859127,    -3.771639,    -1.227069
   72.262154,     7.543741,     8.676156,     0.632091
