x-position, y-position, x-velocity, y-velocity
   99.758399,    37.756936,     0.000000,     0.000000
   60.019721,    10.349783,    -5.793787,     2.431324
   96.302007,    71.577697,    -1.041991,     0.313527
   81.139296,    82.222659,     3.781779,    -0.019903
   69.886570,    89.120702,     5.021089,    -3.266893
   18.374638,    93.502474,    -7.727299,     2.436616
   13.644674,    79.376909,     3.125182,   -10.419190
    4.325516,    47.862279,    -2.776006,     6.089709
   38.833554,    65.109962,     5.246672,     1.869366
   36.767104,     7.944493,    -7.604347,    -7.376683
    4.155612,    78.077942,    -3.981722,    -0.727344
   10.452574,    16.918727,    -5.341665,   -11.684605
   90.157156,    84.255089,    -0.015441,     0.723261
   28.509579,    52.683412,    -2.930147,    13.413615
   64.085122,    91.425110,    -1.877854,     1.200075
   64.163252,    51.890715,    -2.197807,    -4.679096
    3.595515,    30.139173,     7.496719,    -1.583729
   36.083748,    41.677256,    -4.490201,     2.823543
   67.909078,    77.826459,    -5.212135,     4.390429
   42.473527,    44.180808,    -1.270780,    -2.001315
   70.651071,    59.407415,    -1.124170,     2.516219
   55.962573,    83.916689,     0.979763,     3.869046
   71.924264,    36.596004,     2.868627,    -4.798863
   95.782048,    14.028377,     0.864427,    -2.075889
   92.657054,    30.359309,     9.340099,    -6.229001
   73.645051,    60.338906,    -3.749904,    -4.552181
   47.551889,    13.364807,    -0.416880,     0.073240
   37.302271,    93.159419,     8.234450,    -0.489612
    9.663167,    20.218823,    -2.637859,    -7.045152
   83.181469,    71.351024,     4.579554,    -2.775938
   73.685737,    20.110591,     0.689436,    -6.639239
   82.538675,    88.624464,     4.669555,     0.099965
   96.689460,    71.117315,    -3.655229,     3.079379
   75.441373,    90.504427,     1.307734,     4.309270
    6.032785,    75.185162,     2.277990,   -10.474096
   66.498286,    75.058774,     4.287954,     0.854423
   96.036164,    24.270908,    -3.201005,     0.996612
   92.095606,    13.568784,    -2.759831,    -2.838949
   16.765363,    63.888390,     7.920271,     1.223941
   58.736730,    74.093486,    -2.177820,     2.400174
   56.997447,    68.489516,    -4.404659,    -2.837272
   58.952778,     4.326410,     2.365567,     4.710296
   97.798250,    79.998144,     0.000000,     0.000000
   69.612474,    24.123393,    -1.893210,     5.068675
   68.404668,     4.308913,     4.120422,    -2.395718
   77.902640,    81.379900,    -2.709046,     2.404130
   37.980722,     5.449035,     6.296926,    18.237549
   88.814990,    75.548052,     1.452275,     6.559854
   24.459033,    35.274070,     1.508226,    -3.357130
   65.844517,    84.373709,     9.383521,     3.713041
   80.820982,    81.985682,     1.300740,     5.203462
   41.545061,    37.236558,     8.060193,    -8.777347
    2.141240,    71.581545,     2.893190,    -1.759525
   74.780698,    89.561924,     4.356125,    -2.509653
   67.524490,     4.033431,     5.160980,     3.522208
   74.249920,    59.031957,    -0.637246,     3.752634
   71.586216,    98.647263,    -3.233885,    -0.049130
   63.461635,    91.727270,     1.624398,     6.385808
   36.802325,    15.424557,    -0.520763,    -0.790529
   61.351337,    79.775513,    -3.477007,     4.140771
   42.865711,    69.189787,     4.882161,     2.867960
   99.794009,     3.479114,     0.000000,     0.000000
   99.049080,    91.757229,     0.000000,     0.000000
   72.940067,    71.153165,     0.507288,     4.342947
   95.422147,    75.919022,     0.000000,     0.000000
   19.137076,    86.372566,     3.838959,    -4.118346
   67.853281,    14.083915,    -1.425491,     7.815219
   74.954530,    51.509066,    -5.011392,    -3.087521
   88.777308,    62.348738,   -11.200382,     7.097142
   68.151838,    57.070276,    -0.278472,     2.759139
   88.269573,    73.565502,    -3.138606,    -3.733644
   42.945745,    65.034616,    -4.351986,     1.307534
    8.092994,    35.283285,    -6.134341,     0.633220
   43.105960,    70.429270,    -5.194946,    18.956427
   40.878417,    67.915620,     1.711871,    -0.868291
    1.903956,    13.268393,     7.512229,     2.140891
   39.027932,     2.231087,    -4.580650,     8.738980
   62.402689,    86.161701,     0.884493,    -3.561023
   91.200503,    80.457990,    -0.096310,     1.745501
   12.925649,    24.817510,    -9.340954,    -4.631183
   67.824130,    59.699735,    -1.147850,     6.967103
   72.814780,    55.259070,    -2.392787,     0.603047
   36.439340,    55.542925,    -1.684299,     9.597248
   19.279529,    71.529001,     4.775695,     2.347848
    7.463804,    18.974265,    10.274901,    -2.137556
   17.820152,    11.386469,    -3.408451,    -0.055603
   55.103634,     2.670299,    -6.138621,   -11.416522
   40.437849,    88.667806,     3.837191,    -7.969262
    2.215557,    65.177433,    -0.148953,    -4.145448
   84.597878,    79.932494,     2.514577,     6.833624
   24.517030,    15.019113,    -4.356307,   -11.173319
   82.339764,    46.101971,    -1.520946,    -4.448343
   79.738805,    15.220656,    -3.487446,    -0.574570
   18.266246,    39.068721,     2.489572,    -7.472582
   37.835757,    91.839820,     1.341086,    -2.737071
   64.297997,    93.708657,    -1.044544,    -2.511414
    5.043433,     8.561751,    -5.525824,    -5.720809
   28.001225,    93.949284,     0.353471,    -0.262695
   44.057047,    93.121361,    -1.584839,    -1.012604
   27.128246,    90.375395,    -2.021729,    12.484747
   10.527305,    61.899710,     1.845953,     3.961786
   22.710918,    11.766110,    -6.522834,    -0.816972
   10.949745,    11.547253,    -1.935762,     4.125243
   13.798005,    79.831281,   -19.089408,     2.283413
   53.288686,    15.097553,    -2.040946,     2.597823
    7.873027,    46.088612,     4.696658,     0.273541
   33.856671,    59.492626,    -4.878077,     6.472274
   24.150732,    13.202142,    -6.804177,     7.245836
   87.072306,    57.898394,    -7.743665,     5.228419
   75.805895,    72.291537,    -1.924011,     5.826592
    5.423652,    73.938414,     2.450403,    -1.978735
    1.757474,    58.342580,     4.287188,     1.997570
    8.645482,    21.091311,     5.908913,     8.008570
   82.046364,    53.267888,     0.562842,     2.299699
   73.943886,    77.883392,     4.628758,     6.092251
   56.522882,     6.607166,    -1.257164,    -6.042522
   60.871447,    41.863086,    -9.191022,    -3.973677
    9.461670,     8.635759,    -1.838947,    -4.390527
